Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1064020,-,-,-,40.57,-80.02,0,353,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.2.2
Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm)
2003,1,1,0,30,2.3000000000000003,0,0,0,7,2.3000000000000003,0,0,0,0,100,117.09,0.13,973,2.4000000000000004,336,0.2,0.0000,0.0000
2003,1,1,1,30,1.5,0,0,0,7,1.5,0,0,0,0,100,128.44,0.13,973,2.2,352,0.30000000000000004,0.0000,0.0000
2003,1,1,2,30,0.9,0,0,0,7,0.9,0,0,0,0,100,139.74,0.13,973,2,179,0.30000000000000004,0.0000,0.0000
2003,1,1,3,30,0.7000000000000001,0,0,0,7,0.7000000000000001,0,0,0,0,100,150.44,0.13,973,1.9000000000000001,4,0.2,0.0000,0.0000
2003,1,1,4,30,0.7000000000000001,0,0,0,6,0.7000000000000001,0,0,0,0,100,159.18,0.13,974,1.8,12,0.30000000000000004,0.0000,0.0000
2003,1,1,5,30,0.8,0,0,0,6,0.6000000000000001,0,0,0,0,98.22,162.41,0.13,974,1.8,22,0.30000000000000004,0.0000,0.0000
2003,1,1,6,30,0.7000000000000001,0,0,0,6,0.4,0,0,0,0,98.05,157.55,0.13,973,1.9000000000000001,33,0.4,0.0000,0.0000
2003,1,1,7,30,0.6000000000000001,0,0,0,6,0.30000000000000004,0,0,0,0,98.14,148.16,0.13,973,2.1,41,0.4,0.0000,0.0000
2003,1,1,8,30,0.6000000000000001,0,0,0,6,0.30000000000000004,0,0,0,0,97.78,137.25,0.13,972,2.3000000000000003,46,0.4,0.0000,0.0000
2003,1,1,9,30,0.6000000000000001,0,0,0,6,0.30000000000000004,0,0,0,0,97.79,125.91,0.13,971,2.5,50,0.5,0.0000,0.0000
2003,1,1,10,30,0.7000000000000001,0,0,0,6,0.2,0,0,0,0,96.33,114.58,0.13,970,2.5,49,0.5,0.0000,0.0000
2003,1,1,11,30,0.7000000000000001,0,0,0,6,0.2,0,0,0,0,96.64,103.56,0.13,969,2.6,46,0.6000000000000001,0.0000,0.0000
2003,1,1,12,30,0.9,0,0,0,6,0.4,0,0,0,0,96.3,93.11,0.13,969,2.6,47,0.7000000000000001,0.0000,0.0000
2003,1,1,13,30,1.3,36,374,78,6,0.5,14,0,7,14,94.23,83.42,0.13,968,2.6,52,0.7000000000000001,0.0000,0.0000
2003,1,1,14,30,1.7000000000000002,59,620,217,6,0.8,25,0,0,25,93.81,75.23,0.13,968,2.6,49,0.7000000000000001,1.2201,0.9372
2003,1,1,15,30,2,71,729,334,7,1.1,72,0,0,72,93.97,68.8,0.13,967,2.6,43,0.7000000000000001,3.7251,2.8888
2003,1,1,16,30,2.3000000000000003,76,781,409,7,1.4000000000000001,74,0,0,74,93.83,64.75,0.13,965,2.6,40,0.7000000000000001,3.9543,3.0786
2003,1,1,17,30,2.4000000000000004,78,793,431,6,1.6,110,0,0,110,94.2,63.550000000000004,0.13,964,2.6,40,0.7000000000000001,5.9285,4.6198
2003,1,1,18,30,2.4000000000000004,86,742,395,4,1.6,63,0,0,63,94.73,65.38,0.13,963,2.4000000000000004,40,0.7000000000000001,3.3508,2.6073
2003,1,1,19,30,2.2,82,666,310,6,1.6,33,0,0,33,95.7,69.98,0.13,963,2.2,38,0.7000000000000001,1.6897,1.3085
2003,1,1,20,30,1.9000000000000001,63,543,187,7,1.6,62,0,0,62,97.63,76.83,0.13,963,2.1,34,0.7000000000000001,2.9879,2.2885
2003,1,1,21,30,1.6,32,207,49,6,1.4000000000000001,10,0,7,10,98.61,85.31,0.13,963,2,27,0.6000000000000001,0.0000,0.0000
2003,1,1,22,30,1.4000000000000001,0,0,0,6,1.2000000000000002,0,0,0,0,98.4,95.25,0.13,963,2,19,0.6000000000000001,0.0000,0.0000
2003,1,1,23,30,1.3,0,0,0,7,1,0,0,0,0,98.06,105.85000000000001,0.13,964,2,14,0.6000000000000001,0.0000,0.0000
2003,1,2,0,30,0.9,0,0,0,7,0.8,0,0,0,0,99.54,116.95,0.13,965,1.9000000000000001,5,0.5,0.0000,0.0000
2003,1,2,1,30,0.6000000000000001,0,0,0,7,0.5,0,0,0,0,99.23,128.31,0.13,966,1.9000000000000001,3,0.6000000000000001,0.0000,0.0000
2003,1,2,2,30,0.1,0,0,0,7,0,0,0,0,0,99.21000000000001,139.6,0.13,967,1.8,181,0.6000000000000001,0.0000,0.0000
2003,1,2,3,30,-0.5,0,0,0,1,-0.7000000000000001,0,0,0,0,98.87,150.31,0.13,967,1.8,360,0.5,0.0000,0.0000
2003,1,2,4,30,-1.1,0,0,0,4,-1.4000000000000001,0,0,0,0,98.14,159.05,0.13,968,1.7000000000000002,183,0.5,0.0000,0.0000
2003,1,2,5,30,-1.9000000000000001,0,0,0,4,-2.1,0,0,0,0,98.67,162.33,0.13,968,1.6,9,0.4,0.0000,0.0000
2003,1,2,6,30,-2.7,0,0,0,4,-2.8000000000000003,0,0,0,0,99.19,157.54,0.13,969,1.5,7,0.4,0.0000,0.0000
2003,1,2,7,30,-3.3000000000000003,0,0,0,1,-3.3000000000000003,0,0,0,0,99.69,148.19,0.13,969,1.5,178,0.30000000000000004,0.0000,0.0000
2003,1,2,8,30,-3.6,0,0,0,1,-3.7,0,0,0,0,99.37,137.29,0.13,970,1.4000000000000001,345,0.30000000000000004,0.0000,0.0000
2003,1,2,9,30,-3.5,0,0,0,1,-3.9000000000000004,0,0,0,0,97.03,125.95,0.13,971,1.4000000000000001,347,0.4,0.0000,0.0000
2003,1,2,10,30,-3.5,0,0,0,1,-4,0,0,0,0,96.21000000000001,114.62,0.13,971,1.3,185,0.4,0.0000,0.0000
2003,1,2,11,30,-3.7,0,0,0,4,-4.3,0,0,0,0,95.56,103.59,0.13,971,1.3,22,0.4,0.0000,0.0000
2003,1,2,12,30,-3.5,0,0,0,4,-4.7,0,0,0,0,91.14,93.13,0.13,971,1.3,35,0.5,0.0000,0.0000
2003,1,2,13,30,-2.1,35,431,85,7,-4.7,41,111,7,54,82.56,83.42,0.13,972,1.3,53,0.6000000000000001,0.0000,0.0000
2003,1,2,14,30,-0.4,59,664,229,4,-4.7,73,0,0,73,72.84,75.21000000000001,0.13,972,1.3,74,0.6000000000000001,3.5632,2.7373
2003,1,2,15,30,1,76,748,347,7,-4.3,154,144,0,206,67.75,68.76,0.13,971,1.4000000000000001,85,0.5,10.6615,8.2684
2003,1,2,16,30,1.9000000000000001,86,783,421,4,-3.4000000000000004,110,0,0,110,67.98,64.68,0.13,971,1.5,91,0.5,5.8811,4.5788
2003,1,2,17,30,2.5,89,790,442,8,-2.4000000000000004,102,0,0,102,69.95,63.46,0.13,970,1.6,96,0.5,5.5008,4.2868
2003,1,2,18,30,2.7,91,752,405,7,-1.5,154,14,0,159,73.84,65.27,0.13,969,1.6,95,0.5,8.4638,6.5865
2003,1,2,19,30,2.3000000000000003,85,675,317,8,-0.4,12,0,0,12,82.15,69.85000000000001,0.13,969,1.6,86,0.4,0.6151,0.4765
2003,1,2,20,30,1.3,67,542,192,4,0.30000000000000004,37,0,0,37,93.24,76.7,0.13,969,1.5,84,0.30000000000000004,1.7847,1.3673
2003,1,2,21,30,0.2,34,224,53,4,0.2,16,0,7,16,100,85.17,0.13,969,1.4000000000000001,99,0.30000000000000004,0.0000,0.0000
2003,1,2,22,30,-0.2,0,0,0,4,-0.2,0,0,0,0,100,95.11,0.13,969,1.3,117,0.30000000000000004,0.0000,0.0000
2003,1,2,23,30,-0.1,0,0,0,4,-0.1,0,0,0,0,100,105.71000000000001,0.13,969,1.3,126,0.30000000000000004,0.0000,0.0000
2003,1,3,0,30,0,0,0,0,4,0,0,0,0,0,100,116.81,0.65,969,1.3,144,0.30000000000000004,0.0000,0.0000
2003,1,3,1,30,0.30000000000000004,0,0,0,4,0.30000000000000004,0,0,0,0,100,128.17000000000002,0.65,969,1.3,157,0.30000000000000004,0.0000,0.0000
2003,1,3,2,30,0.6000000000000001,0,0,0,4,0.6000000000000001,0,0,0,0,100,139.46,0.65,969,1.3,161,0.30000000000000004,0.0000,0.0000
2003,1,3,3,30,0.9,0,0,0,4,0.9,0,0,0,0,100,150.16,0.65,969,1.3,159,0.30000000000000004,0.0000,0.0000
2003,1,3,4,30,1,0,0,0,4,1,0,0,0,0,100,158.92000000000002,0.65,969,1.3,156,0.30000000000000004,0.0000,0.0000
2003,1,3,5,30,1.1,0,0,0,4,1.1,0,0,0,0,100,162.25,0.65,969,1.4000000000000001,148,0.30000000000000004,0.0000,0.0000
2003,1,3,6,30,1.1,0,0,0,7,1.1,0,0,0,0,100,157.53,0.65,969,1.4000000000000001,137,0.30000000000000004,0.0000,0.0000
2003,1,3,7,30,0.9,0,0,0,6,0.9,0,0,0,0,100,148.21,0.65,969,1.5,127,0.30000000000000004,0.0000,0.0000
2003,1,3,8,30,0.4,0,0,0,6,0.4,0,0,0,0,100,137.33,0.65,968,1.4000000000000001,123,0.4,0.0000,0.0000
2003,1,3,9,30,0.1,0,0,0,7,0.1,0,0,0,0,100,125.99000000000001,0.65,968,1.4000000000000001,120,0.4,0.0000,0.0000
2003,1,3,10,30,0,0,0,0,7,-0.1,0,0,0,0,99.33,114.65,0.65,968,1.4000000000000001,117,0.4,0.0000,0.0000
2003,1,3,11,30,-0.1,0,0,0,7,-0.2,0,0,0,0,99.01,103.62,0.65,968,1.4000000000000001,111,0.4,0.0000,0.0000
2003,1,3,12,30,-0.1,0,0,0,7,-0.4,0,0,0,0,98.06,93.15,0.65,968,1.4000000000000001,106,0.30000000000000004,0.0000,0.0000
2003,1,3,13,30,0.2,46,289,79,6,-0.30000000000000004,24,0,7,24,96.22,83.42,0.65,969,1.3,104,0.30000000000000004,0.0000,0.0000
2003,1,3,14,30,0.5,83,553,224,7,-0.2,96,25,0,102,95.34,75.19,0.65,968,1.3,113,0.30000000000000004,4.9796,3.8255
2003,1,3,15,30,0.6000000000000001,112,646,347,6,-0.1,135,16,0,141,94.77,68.72,0.65,968,1.3,135,0.30000000000000004,7.2999,5.6616
2003,1,3,16,30,0.8,128,693,425,6,-0.2,54,0,0,54,92.79,64.61,0.65,967,1.3,188,0.2,2.8885,2.2491
2003,1,3,17,30,0.9,128,725,453,8,-0.30000000000000004,83,0,0,83,91.88,63.36,0.65,967,1.2000000000000002,252,0.2,4.4792,3.4909
2003,1,3,18,30,0.9,125,694,417,7,-0.2,181,210,0,269,92.13,65.15,0.65,967,1.2000000000000002,281,0.4,14.3321,11.1543
2003,1,3,19,30,0.6000000000000001,113,620,328,7,-0.30000000000000004,124,7,0,127,93.82000000000001,69.72,0.65,967,1.1,285,0.5,6.5179,5.0491
2003,1,3,20,30,0,88,468,196,7,-0.4,91,80,0,110,97.24000000000001,76.56,0.65,968,1.1,283,0.5,5.3113,4.0701
2003,1,3,21,30,-0.9,39,167,54,1,-0.9,39,167,0,54,100,85.03,0.65,969,1,282,0.6000000000000001,0.0000,0.0000
2003,1,3,22,30,-1.8,0,0,0,4,-2,0,0,0,0,98.78,94.97,0.65,970,1,283,0.6000000000000001,0.0000,0.0000
2003,1,3,23,30,-2.3000000000000003,0,0,0,4,-3.2,0,0,0,0,93.87,105.56,0.65,970,1,283,0.7000000000000001,0.0000,0.0000
2003,1,4,0,30,-3.4000000000000004,0,0,0,4,-4.1000000000000005,0,0,0,0,94.85000000000001,116.67,0.75,971,0.9,284,0.6000000000000001,0.0000,0.0000
2003,1,4,1,30,-3.9000000000000004,0,0,0,4,-4.9,0,0,0,0,93.01,128.02,0.75,971,0.9,283,0.6000000000000001,0.0000,0.0000
2003,1,4,2,30,-4.2,0,0,0,4,-5.4,0,0,0,0,91.59,139.32,0.75,970,0.9,281,0.6000000000000001,0.0000,0.0000
2003,1,4,3,30,-4.5,0,0,0,4,-5.7,0,0,0,0,91.65,150.02,0.75,970,0.9,278,0.6000000000000001,0.0000,0.0000
2003,1,4,4,30,-4.7,0,0,0,4,-6,0,0,0,0,90.88,158.78,0.75,970,0.9,275,0.6000000000000001,0.0000,0.0000
2003,1,4,5,30,-4.800000000000001,0,0,0,4,-6.2,0,0,0,0,89.82000000000001,162.16,0.75,970,0.9,272,0.6000000000000001,0.0000,0.0000
2003,1,4,6,30,-4.800000000000001,0,0,0,4,-6.4,0,0,0,0,88.42,157.5,0.75,970,0.9,270,0.6000000000000001,0.0000,0.0000
2003,1,4,7,30,-4.800000000000001,0,0,0,1,-6.5,0,0,0,0,87.87,148.22,0.75,971,0.9,268,0.6000000000000001,0.0000,0.0000
2003,1,4,8,30,-4.7,0,0,0,4,-6.4,0,0,0,0,87.58,137.35,0.75,971,0.9,267,0.6000000000000001,0.0000,0.0000
2003,1,4,9,30,-4.6000000000000005,0,0,0,4,-6.300000000000001,0,0,0,0,87.59,126.02,0.75,971,0.8,266,0.6000000000000001,0.0000,0.0000
2003,1,4,10,30,-4.4,0,0,0,4,-6.2,0,0,0,0,87.49,114.68,0.75,971,0.8,267,0.7000000000000001,0.0000,0.0000
2003,1,4,11,30,-4.1000000000000005,0,0,0,4,-5.800000000000001,0,0,0,0,88.27,103.64,0.75,972,0.8,268,0.7000000000000001,0.0000,0.0000
2003,1,4,12,30,-3.8000000000000003,0,0,0,4,-5.4,0,0,0,0,88.41,93.15,0.75,973,0.8,269,0.8,0.0000,0.0000
2003,1,4,13,30,-3.2,51,258,80,4,-5.2,28,0,7,28,86.19,83.42,0.75,973,0.8,274,0.8,0.0000,0.0000
2003,1,4,14,30,-2.4000000000000004,90,553,232,4,-5.1000000000000005,85,0,0,85,81.85000000000001,75.16,0.75,974,0.7000000000000001,281,0.9,4.1507,3.1889
2003,1,4,15,30,-1.9000000000000001,108,710,367,4,-5.4,135,16,0,141,77.18,68.66,0.75,973,0.6000000000000001,285,0.9,7.3037,5.6649
2003,1,4,16,30,-1.5,110,798,453,4,-5.6000000000000005,183,71,0,214,73.76,64.53,0.75,973,0.6000000000000001,285,0.9,11.4538,8.9187
2003,1,4,17,30,-1.4000000000000001,104,846,485,4,-5.7,189,55,0,214,72.52,63.26,0.75,973,0.5,284,0.8,11.5567,9.0075
2003,1,4,18,30,-1.5,96,841,451,4,-5.800000000000001,161,21,0,170,72.55,65.02,0.75,973,0.5,283,0.8,9.0662,7.0568
2003,1,4,19,30,-1.8,81,800,360,4,-5.9,144,193,0,212,73.53,69.58,0.75,973,0.5,282,0.7000000000000001,10.8937,8.4404
2003,1,4,20,30,-2.5,60,695,224,4,-6,88,28,0,95,76.72,76.42,0.75,974,0.5,279,0.6000000000000001,4.5918,3.5196
2003,1,4,21,30,-3.4000000000000004,32,403,68,4,-6.2,30,0,7,30,80.93,84.88,0.75,975,0.5,275,0.5,0.0000,0.0000
2003,1,4,22,30,-4,0,0,0,4,-6.6000000000000005,0,0,0,0,82.35000000000001,94.82000000000001,0.75,975,0.5,272,0.5,0.0000,0.0000
2003,1,4,23,30,-4.2,0,0,0,4,-6.5,0,0,0,0,83.73,105.42,0.75,976,0.5,271,0.5,0.0000,0.0000
2003,1,5,0,30,-4.6000000000000005,0,0,0,4,-6.2,0,0,0,0,88.73,116.52,0.72,976,0.6000000000000001,270,0.4,0.0000,0.0000
